adresses;balances
"""0x25559f0abbaf2a928239d2f419181147cc2dad74""";"""67"""
"""0xd4d85595f9c5792a5b3f03c8c7699f34f45b7b5f""";"""20"""
"""0x2f08e24572271a8e3ccab887ebc0d9f9cafa29fa""";"""10"""
"""0xd4f69d02ef082f612558588d103994a7e3cf29c9""";"""6"""
"""0x1aa2d90064de3c421a9b45695e2fe1ac76fad889""";"""5"""
"""0x44d86c485a10adebfb8f55854f53f61f034ad47e""";"""5"""
"""0x740dbc322c93adad12190e2bb3ac665cf3fc351f""";"""5"""
"""0x7e31024b21d4fac0ca6240ca06f5af973b2ec491""";"""5"""
"""0x8bc0f2ec868a5722f3315606614f57addf997083""";"""5"""
"""0xbdea4b975451a2def3b546775b8ee7a8a876bd8f""";"""5"""
"""0x3b43956505196542757834c68d672e688f6ba48c""";"""4"""
"""0x9174762be7d3f2e81d0803ad2314a2d0adc48d04""";"""3"""
"""0x6ffd7ede62328b3af38fcd61461bbfc52f5651fe""";"""2"""
"""0xb9284335d9990666764cb737ed715f238fde69b4""";"""2"""
"""0x672f2799c87fb702dd26ac666dea68f3138b22ca""";"""1"""
"""0xdcd828e6ae3db6c864810b9d9d97d890c1e1cd0d""";"""1"""
